,1971,2300
0,1972,3500
1,1973,2500
2,1973,2500
3,1974,4100
4,1974,4500
5,1974,8000
6,1975,3510
7,1976,5000
8,1976,8500
9,1976,6500
10,1978,9000
11,1978,29000
12,1979,17500
13,1979,29000
14,1979,68000
15,1981,11500
16,1982,55000
17,1982,134000
18,1983,22000
19,1984,63000
20,1984,190000
21,1985,275000
22,1985,25000
23,1985,16000
24,1986,110000
25,1986,375000
26,1986,30000
27,1987,385000
28,1987,730000
29,1987,273000
30,1987,553000
31,1988,180000
32,1988,250000
33,1989,600000
34,1989,1000000
35,1989,1180235
36,1989,310000
37,1990,1200000
38,1991,1350000
39,1991,35000
40,1992,600000
41,1992,900000
42,1993,2800000
43,1993,3100000
44,1994,578977
45,1994,2500000
46,1995,2500000
47,1999,111000
48,1995,5500000
49,1996,4300000
50,1997,10000000
51,1997,7500000
52,1997,8800000
53,1998,7500000
54,1999,9500000
55,1999,13500000
56,2000,21000000
57,2000,21000000
58,1999,27400000
59,1999,21300000
60,1999,22000000
61,2000,42000000
62,2001,191000000
63,2001,45000000
64,2002,55000000
65,2004,112000000
66,2004,400000000
67,2005,169000000
68,2006,184000000
69,2005,228000000
70,2006,362000000
71,2007,540000000
72,2008,47000000
73,2003,54300000
74,2003,105900000
75,2002,220000000
76,2005,165000000
77,2005,250000000
78,2006,291000000
79,2007,169000000
80,2003,410000000
81,2008,600000000
82,2009,760000000
83,2011,1870000000
84,2012,432000000
85,2007,463000000
86,2007,26000000
87,2008,230000000
88,2004,592000000
89,2007,411000000
90,2008,731000000
91,2008,758000000
92,2007,789000000
93,2009,904000000
94,2010,1000000000
95,2012,2990000000
96,2013,1000000000
97,2011,1160000000
98,2010,1170000000
99,2010,1200000000
100,2012,1200000000
101,2012,1303000000
102,2010,1400000000
103,2012,1400000000
104,2014,1400000000
105,2006,1700000000
106,2015,1750000000
107,2013,1860000000
108,2015,1900000000
109,2008,1900000000
110,2010,2000000000
111,2014,2000000000
112,2015,2000000000
113,2015,3000000000
114,2012,2100000000
115,2011,2270000000
116,2010,2300000000
117,2014,2600000000
118,2011,2600000000
119,2012,2750000000
120,2014,3000000000
121,2016,3000000000
122,2017,5300000000
123,2017,5300000000
124,2018,8500000000
125,2012,3100000000
126,2016,3200000000
127,2016,3300000000
128,2015,3990000000
129,2013,4200000000
130,2017,4300000000
131,2014,4310000000
132,2017,4800000000
133,2017,4800000000
134,2017,4800000000
135,2012,5000000000
136,2013,5000000000
137,2014,5560000000
138,2017,6100000000
139,2018,6900000000
140,2016,4000000000
141,2018,6900000000
142,2017,5500000000
143,2018,5500000000
144,2017,7000000000
145,2015,7100000000
146,2017,8000000000
147,2016,7200000000
148,2017,8000000000
149,2016,8000000000
150,2017,9700000000
151,2017,250000000
152,2015,10000000000
153,2017,5450000000
154,2018,10000000000
155,2017,4300000000
156,2017,18000000000
157,2017,19200000000
158,2018,8876000000
159,2018,23600000000
160,2018,9000000000
